;ID              	Node1           	Node2           	Length      	Diameter    	Roughness   	MinorLoss   	Status
 0               	118             	107             	7401.000000 	20.453411   	138.000000  	0.000000    	Open  	;
 1               	17              	0               	359.000000  	7.999894    	139.000000  	0.000000    	Open  	;
 2               	0               	2               	324.000000  	7.999894    	139.000000  	0.000000    	Open  	;
 3               	3               	4               	697.000000  	7.999810    	139.000000  	0.000000    	Open  	;
 6               	5               	4               	574.000000  	7.999807    	139.000000  	0.000000    	Open  	;
 7               	5               	6               	238.000000  	7.999912    	139.000000  	0.000000    	Open  	;
 8               	6               	7               	502.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 9               	8               	6               	396.000000  	7.999894    	139.000000  	0.000000    	Open  	;
 10              	9               	8               	377.000000  	7.999894    	139.000000  	0.000000    	Open  	;
 11              	18              	9               	308.000000  	7.999947    	139.000000  	0.000000    	Open  	;
 12              	9               	8               	837.000000  	7.999841    	139.000000  	0.000000    	Open  	;
 13              	2               	113             	56.000000   	8.000000    	138.000000  	0.000000    	Open  	;
 14              	114             	10              	599.000000  	7.999901    	138.000000  	0.000000    	Open  	;
 15              	1               	109             	125.000000  	16.000000   	138.000000  	0.000000    	Open  	;
 16              	10              	11              	409.000000  	7.999841    	138.000000  	0.000000    	Open  	;
 17              	110             	34              	124.000000  	12.000000   	138.000000  	0.000000    	Open  	;
 18              	108             	1               	320.000000  	30.000000   	138.000000  	0.000000    	Open  	;
 19              	126             	108             	51.000000   	30.000000   	138.000000  	0.000000    	Open  	;
 20              	12              	13              	597.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 21              	12              	11              	671.000000  	7.999810    	138.000000  	0.000000    	Open  	;
 22              	14              	12              	332.000000  	7.999863    	139.000000  	0.000000    	Open  	;
 23              	5               	15              	2089.000000 	7.999852    	139.000000  	0.000000    	Open  	;
 24              	15              	3               	50.000000   	8.000000    	139.000000  	0.000000    	Open  	;
 25              	15              	111             	57.000000   	8.000000    	140.000000  	0.000000    	Open  	;
 26              	112             	14              	69.000000   	8.000000    	140.000000  	0.000000    	Open  	;
 27              	14              	16              	928.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 28              	17              	18              	1382.000000 	16.000290   	138.000000  	0.000000    	Open  	;
 29              	18              	116             	731.000000  	16.000150   	138.000000  	0.000000    	Open  	;
 30              	0               	4               	1570.000000 	7.999764    	139.000000  	0.000000    	Open  	;
 31              	29              	28              	1402.000000 	24.000489   	138.000000  	0.000000    	Open  	;
 32              	45              	46              	1811.000000 	7.999830    	140.000000  	0.000000    	Open  	;
 33              	23              	124             	1845.000000 	12.000000   	140.000000  	0.000000    	Open  	;
 34              	122             	123             	2433.000000 	12.000000   	140.000000  	0.000000    	Open  	;
 35              	34              	30              	10260.284142	24.000979   	138.000000  	0.000000    	Open  	;
 36              	41              	39              	1066.000000 	7.999947    	138.000000  	0.000000    	Open  	;
 37              	2               	3               	1066.000000 	7.999796    	139.000000  	0.000000    	Open  	;
 38              	11              	10              	1000.000000 	7.999805    	138.000000  	0.000000    	Open  	;
 39              	117             	17              	1537.000000 	16.000075   	138.000000  	0.000000    	Open  	;
 40              	20              	21              	2125.000000 	20.000594   	138.000000  	0.000000    	Open  	;
 41              	20              	115             	3227.000000 	16.000327   	138.000000  	0.000000    	Open  	;
 42              	19              	125             	2125.000000 	20.000167   	138.000000  	0.000000    	Open  	;
 43              	19              	20              	942.000000  	20.000000   	138.000000  	0.000000    	Open  	;
 44              	21              	22              	1257.000000 	20.000439   	138.000000  	0.000000    	Open  	;
 45              	22              	23              	1101.000000 	24.000739   	138.000000  	0.000000    	Open  	;
 46              	23              	30              	1175.000000 	24.000727   	138.000000  	0.000000    	Open  	;
 47              	22              	24              	292.000000  	24.000000   	138.000000  	0.000000    	Open  	;
 48              	24              	25              	178.000000  	24.000000   	138.000000  	0.000000    	Open  	;
 49              	25              	26              	336.000000  	24.000000   	138.000000  	0.000000    	Open  	;
 50              	26              	27              	76.000000   	24.000000   	138.000000  	0.000000    	Open  	;
 51              	27              	28              	144.000000  	24.000000   	138.000000  	0.000000    	Open  	;
 52              	30              	31              	1146.000000 	12.000000   	138.000000  	0.000000    	Open  	;
 53              	31              	32              	1699.000000 	12.000000   	138.000000  	0.000000    	Open  	;
 54              	32              	33              	645.000000  	12.000000   	138.000000  	0.000000    	Open  	;
 55              	33              	57              	754.000000  	8.413870    	138.000000  	0.000000    	Open  	;
 56              	19              	35              	1113.000000 	7.999903    	140.000000  	0.000000    	Open  	;
 57              	35              	36              	507.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 58              	35              	37              	246.000000  	7.999947    	140.000000  	0.000000    	Open  	;
 59              	37              	20              	739.000000  	7.999947    	138.000000  	0.000000    	Open  	;
 60              	35              	38              	552.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 61              	37              	39              	348.000000  	8.000000    	138.000000  	0.000000    	Open  	;
 62              	39              	40              	998.000000  	8.296935    	139.000000  	0.000000    	Open  	;
 63              	40              	41              	619.000000  	8.000000    	138.000000  	0.000000    	Open  	;
 64              	40              	42              	538.000000  	7.999947    	138.000000  	0.000000    	Open  	;
 65              	42              	41              	668.000000  	8.000000    	138.000000  	0.000000    	Open  	;
 66              	42              	27              	2581.000000 	8.019783    	138.000000  	0.000000    	Open  	;
 67              	24              	43              	544.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 68              	43              	25              	420.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 69              	43              	44              	373.000000  	7.999947    	140.000000  	0.000000    	Open  	;
 70              	44              	26              	556.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 71              	44              	28              	752.000000  	7.999947    	140.000000  	0.000000    	Open  	;
 72              	29              	127             	242.000000  	24.000000   	138.000000  	0.000000    	Open  	;
 73              	21              	47              	91.000000   	8.000000    	139.000000  	0.000000    	Open  	;
 74              	47              	48              	805.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 75              	48              	49              	574.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 76              	49              	22              	158.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 77              	49              	50              	577.000000  	7.999947    	139.000000  	0.000000    	Open  	;
 78              	50              	51              	388.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 79              	51              	48              	236.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 80              	51              	52              	393.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 81              	52              	47              	549.000000  	7.999947    	139.000000  	0.000000    	Open  	;
 82              	52              	50              	1381.000000 	7.999947    	139.000000  	0.000000    	Open  	;
 83              	23              	53              	919.000000  	9.999941    	139.000000  	0.000000    	Open  	;
 84              	53              	54              	386.000000  	9.999970    	139.000000  	0.000000    	Open  	;
 85              	54              	31              	229.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 86              	53              	56              	232.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 87              	56              	55              	390.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 88              	55              	54              	254.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 89              	55              	56              	873.000000  	7.999947    	140.000000  	0.000000    	Open  	;
 90              	32              	57              	945.000000  	7.999947    	140.000000  	0.000000    	Open  	;
 91              	57              	33              	230.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 92              	31              	58              	1155.000000 	10.000000   	139.000000  	0.000000    	Open  	;
 93              	58              	59              	413.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 94              	59              	60              	943.000000  	7.999947    	140.000000  	0.000000    	Open  	;
 95              	60              	59              	196.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 96              	60              	61              	133.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 97              	61              	62              	138.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 98              	62              	63              	187.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 99              	63              	64              	134.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 100             	64              	65              	300.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 101             	65              	66              	65.000000   	8.000000    	139.000000  	0.000000    	Open  	;
 102             	66              	67              	420.000000  	7.999947    	139.000000  	0.000000    	Open  	;
 103             	67              	61              	209.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 104             	66              	67              	398.000000  	7.999947    	139.000000  	0.000000    	Open  	;
 105             	68              	58              	381.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 106             	64              	65              	872.000000  	7.999947    	140.000000  	0.000000    	Open  	;
 107             	65              	68              	199.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 108             	63              	62              	713.000000  	7.999947    	140.000000  	0.000000    	Open  	;
 109             	68              	69              	1095.000000 	10.000000   	139.000000  	0.000000    	Open  	;
 110             	69              	70              	231.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 111             	70              	71              	695.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 112             	70              	72              	528.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 113             	73              	69              	938.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 114             	72              	74              	169.000000  	8.000000    	140.000000  	0.000000    	Open  	;
