;Node            	X-Coord         	Y-Coord
 0               	10660.89        	12699.67        
 1               	232.34          	198.38          
 2               	10096.30        	12963.00        
 3               	8407.85         	12291.24        
 4               	9496.42         	11972.35        
 5               	9011.59         	11369.17        
 6               	9013.79         	11080.51        
 7               	9250.29         	11199.54        
 8               	9581.36         	10752.81        
 9               	10733.82        	11618.76        
 10              	9928.19         	13544.98        
 11              	8807.74         	13153.79        
 12              	7701.69         	12907.40        
 13              	6876.11         	12848.50        
 14              	8251.47         	12444.71        
 15              	8259.98         	12265.86        
 16              	6336.78         	11924.32        
 17              	11390.23        	12721.86        
 18              	11057.11        	11140.34        
 19              	18876.92        	11353.89        
 20              	17934.43        	10606.32        
 21              	17059.69        	8043.82         
 22              	17247.33        	6999.27         
 23              	17410.54        	5888.57         
 24              	17999.87        	7351.33         
 25              	18109.38        	7395.83         
 26              	19053.01        	7351.84         
 27              	19106.85        	7553.33         
 28              	19686.69        	7293.81         
 29              	21853.72        	7382.88         
 30              	17071.34        	5128.88         
 31              	15171.37        	5740.90         
 32              	13238.08        	6332.93         
 33              	12424.38        	7418.33         
 34              	1250.49         	498.88          
 35              	19673.06        	10686.87        
 36              	20403.76        	10472.92        
 37              	18985.90        	10631.23        
 38              	18607.97        	10713.49        
 39              	19166.06        	10506.15        
 40              	19099.54        	10176.22        
 41              	17861.02        	9889.20         
 42              	18385.78        	9430.10         
 43              	18490.35        	6790.82         
 44              	18645.08        	7129.68         
 45              	21195.36        	8702.78         
 46              	21278.01        	7694.47         
 47              	16855.92        	8656.03         
 48              	16904.90        	7714.24         
 49              	16927.55        	6903.29         
 50              	16551.63        	7560.14         
 51              	16614.08        	8245.07         
 52              	16228.29        	7895.69         
 53              	15807.37        	6484.02         
 54              	15143.01        	5790.53         
 55              	15452.25        	5855.21         
 56              	15614.75        	6241.36         
 57              	12641.61        	7580.16         
 58              	12889.67        	5314.84         
 59              	14170.10        	5753.98         
 60              	13812.99        	6116.38         
 61              	13623.60        	5755.55         
 62              	13553.54        	5928.47         
 63              	13138.41        	6329.93         
 64              	12860.32        	6023.02         
 65              	12449.32        	5619.02         
 66              	12955.43        	5888.95         
 67              	13301.09        	5801.58         
 68              	12578.78        	5441.85         
 69              	10677.34        	4900.98         
 70              	10181.06        	5473.86         
 71              	11140.24        	5728.02         
 72              	9885.02         	5770.85         
 73              	8969.76         	5646.52         
 74              	9308.85         	5671.41         
 75              	9946.22         	6083.37         
 76              	9607.47         	6199.74         
 77              	9051.85         	6450.38         
 78              	10166.55        	6572.87         
 79              	9485.75         	6648.12         
 80              	9568.49         	6824.95         
 81              	8741.43         	6287.84         
 82              	8978.26         	6693.00         
 83              	8345.05         	6938.19         
 84              	8751.56         	6635.61         
 85              	9279.58         	7087.57         
 86              	9876.13         	7369.96         
 87              	9804.94         	7308.79         
 88              	9879.39         	6704.35         
 89              	10235.12        	6748.13         
 90              	10216.80        	7677.21         
 91              	11071.02        	7420.24         
 92              	11350.46        	7397.70         
 93              	10935.56        	7058.08         
 94              	11167.17        	7199.21         
 95              	11919.97        	7225.08         
 96              	12279.69        	6864.49         
 97              	12009.44        	6806.61         
 98              	11504.57        	6811.20         
 99              	10798.43        	6305.49         
 100             	10495.63        	6494.15         
 101             	11456.95        	7127.08         
 102             	25891.06        	3341.73         
 103             	24306.48        	3387.26         
 104             	22275.22        	7224.91         
 105             	22205.02        	7496.88         
 106             	22698.70        	7650.31         
 107             	21563.80        	13128.27        
 108             	269.38          	602.32          
 109             	695.63          	0.00            
 110             	862.27          	205.84          
 111             	8270.97         	12259.89        
 112             	8176.75         	12053.87        
 113             	9457.16         	13032.31        
 114             	9711.67         	13144.65        
 115             	12096.99        	10755.48        
 116             	11965.70        	10646.33        
 117             	14008.10        	13489.78        
 118             	13980.49        	13520.62        
 119             	22395.73        	7684.44         
 120             	22300.21        	7726.14         
 121             	23322.75        	3866.35         
 122             	23012.94        	4255.69         
 123             	20282.88        	5465.74         
 124             	20326.50        	5404.05         
 125             	21576.64        	13167.78        
 126             	21.20           	583.42          
 127             	21873.08        	6912.07         
 128             	25900.14        	3983.02
